"","work","collection"
"125","1839_272_Дьячков С._Деньги : Комич. поэма","cz_slk"
"126","1839_273_Деларю М._Слово о полку Игореве. Песнь об ополчении Игоря, сына Святославова, внука Олегова","nlr"
"127","1839_273_Деларю М._Слово о полку Игореве. Песнь об ополчении Игоря, сына Святославова, внука Олегова","rsl"
"128","1839_274_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","nlr"
"129","1839_274_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","rsl"
"130","1839_274_А… Е…_Кум-сват : Быль XVI века из времен Иоанна IV, еще не Грозного : Стихотвор. рассказ","us_harvard"
"131","1839_275_NA_Полина : роман в стихах","nlr"
"132","1839_275_NA_Полина : роман в стихах","rsl"
"133","1839_275_NA_Полина : роман в стихах","cz_slk"
"134","1839_277_NA_Сказка о Марье Марьевне, кипрской королевне и Иванушке-дурачке, русском мужичке : В стихах","nlr"
"135","1839_286_А. К._Вечер в клубе : Шуточ. рассказ в стихах","nlr"
"136","1839_286_А. К._Вечер в клубе : Шуточ. рассказ в стихах","rsl"
"137","1839_286_А. К._Вечер в клубе : Шуточ. рассказ в стихах","us_harvard"
"138","1839_286_А. К._Вечер в клубе : Шуточ. рассказ в стихах","cz_slk"
"139","1839_287_А. О._Элоа : Индийская легенда","nlr"
"140","1839_287_А. О._Элоа : Индийская легенда","rsl"
"141","1839_287_А. О._Элоа : Индийская легенда","cz_slk"
"142","1839_287_А. О._Элоа : Индийская легенда","spbgu"
"143","1839_290_Севастьянов В._Горка под каретой, или За женщин, карты и вино поссориться немудрено!!! / Соч. в стихах Владимира Севастьянова","nlr"
"144","1839_295_Глинка Ф.Н._1812 год : (Отр. из рассказа) : [В стихах]","nlr"
"145","1839_295_Глинка Ф.Н._1812 год : (Отр. из рассказа) : [В стихах]","rsl"
"146","1840_301_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","nlr"
"147","1840_301_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","rsl"
"148","1840_302_Федоров Н.Н._Писатель : Повесть в стихах : Гл. 1","nlr"
"149","1840_304_Анордист Н._Сказка о прекрасной царевне","nlr"
"150","1840_305_Дьячков С._Сказка о найденном алмазе","nlr"
"151","1840_310_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","nlr"
"152","1840_310_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","rozanov"
"153","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","nlr"
"154","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rsl"
"155","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rozanov"
"156","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","pl_bn"
"157","1840_328_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","nlr"
"158","1840_328_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","rsl"
"159","1840_329_И. Д._Семь столов для бедных в богоблагословенной Москве : [В стихах]","nlr"
"160","1840_330_NA_Донской козак : Воспоминание об отечеств. войне : [В стихах] / 2-е изд.","nlr"
"161","1840_332_Оранский Н.Д._Песнь русского барда","nlr"
"162","1840_332_Оранский Н.Д._Песнь русского барда","rsl"
"163","1840_332_Оранский Н.Д._Песнь русского барда","rozanov"
"164","1840_333_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","nlr"
"165","1840_333_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","rsl"
"166","1840_333_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","cz_slk"
