text_ID	txt_raw	A_ID	Author_Initials	Text_title	First_line.x	PER_ID	Year	Vol	Num	Pages	Subtitle	Author_sign	Author_full_name	Author_birth	Author_death	RP_biography	first_line	Unnamed..0	path	author	dub	original	language	header	cyclus	liber	created	start	end	exact	sphere	genre_fi	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	subcorpus	meter	feet	clausula	strophe	gr_strophe	rhyme	formula	extra	verses	location	location_normalized	paths_tidy	diff	year	year_start	First_line.y
P_83	NA	A-151	Катенин П.А.	Гнездо голубиц?	Вождь Амру, десница халифа Омара	БдЧ	1836	Т. 14	NA	14-17	NA	Катенин	Катенин Павел Александрович	1792	1853	2-503	ВождьАмрудесницахалифаОмара	6638	xix/katenin/kate2-25	П. А. Катенин	NA			Гнездо голубки : «Вождь Амру, десница халифа Омара…»			1835	1835	NA		художественная	стихотворение	н-возраст	н-уровень	большая	Катенин П. А. Избранные произведения. Библиотека поэта. -- М.-Л.: Советский писатель, 1965				книга	поэтический	Д, тонический : Дк : Гек : дериват	5	ж	0		0	Дк5ж		110			texts_plain/xix/katenin/kate2-25.txt	0	1835	1835	ВождьАмрудесницахалифаОмара
P_86	NA	A-218	Крылов И.А.	Два мальчика	Сенюша, знаешь ли, покамест как баранов	БдЧ	1836	Т. 14	NA	65-66	Басня	И. Крылов	Крылов Иван Андреевич	1769	1844	2-177	Сенюшазнаешьлипокаместкакбаранов	7175	xix/krylov/kryl-166	И. А. Крылов	NA			Два мальчика : «Сенюша, знаешь ли, покамест, как баранов...»			1833	1833	NA		художественная	стихотворение : басня	н-возраст	н-уровень	большая					книга	поэтический	Я	вольная : 2,3,4,5,6	вольная : ж, м	0	вольная	вольная	Я2м, Я3,Я4,Я5,Я6ж,м		32			texts_plain/xix/krylov/kryl-166.txt	0	1833	1833	Сенюшазнаешьлипокаместкакбаранов
P_88	NA	A-18	Бенедиктов В.Г.	Кудри	Кудри девы - чародейки	БдЧ	1836	Т. 14	NA	68-69	NA	Бенедиктов	Бенедиктов Владимир Григорьевич	1807	1873	1-233	Кудридевычародейки	3251	xix/benediktov/bene-052	В. Г. Бенедиктов	NA			Кудри : «Кудри девы-чародейки...»			1835	1835	NA		художественная	стихотворение	н-возраст	н-уровень	большая	В. Г. Бенедиктов. Стихотворения. -- Л.: Советский писатель, 1939. (Библиотека поэта. Большая серия)				книга	поэтический	Х	4	вольная : ж, м	0	вольная	вольная	Х4ж,м		55			texts_plain/xix/benediktov/bene-052.txt	0	1835	1835	Кудридевычародейки
P_93	NA	A-18	Бенедиктов В.Г.	Возвращение незабвенной	Ты опять передо мною	БдЧ	1836	Т. 15	NA	225-227	NA	Бенедиктов	Бенедиктов Владимир Григорьевич	1807	1873	1-233	Тыопятьпередомною	3271	xix/benediktov/bene-065	В. Г. Бенедиктов	NA			Возвращение незабвенной : «Ты опять передо мною...»			1836	1836	NA		художественная	стихотворение	н-возраст	н-уровень	большая	В. Г. Бенедиктов. Стихотворения. -- Л.: Советский писатель, 1939. (Библиотека поэта. Большая серия)				книга	поэтический	Х	4	вольная : ж, м	0	вольная	вольная	Х4ж,м		93			texts_plain/xix/benediktov/bene-065.txt	0	1836	1836	Тыопятьпередомною
P_96	NA	A-222	Сатин Н.М.	Умирающий художник	Не верю я, чтоб час преображенья	БдЧ	1836	Т. 15	NA	230-233	NA	С ***	Сатин Николай Михайлович	1814	1873	5-494	Неверюячтобчаспреображенья	1323	xix/1830/1830-284	Н. М. Сатин	NA			Умирающий художник : «Не верю я, чтоб час преображенья...»			1833	1833	NA		художественная	стихотворение	н-возраст	н-уровень	большая	Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972					поэтический	Я	5(4,6) # 4	регулярная : жм	4	0	перекрестная : абаб	Я5жм; Я4,6ж # Аф4жм	полиметрия	180			texts_plain/xix/1830/1830-284.txt	0	1833	1833	Неверюячтобчаспреображенья
P_99	NA	A-7	Кольцов А.В.	Домик лесника	В темном лесе, за рекой	БдЧ	1836	Т. 16	NA	8-9	Сельские картины	Кольцов	Кольцов Алексей Васильевич	1809	1842	3-33	Втемномлесезарекой	6713	xix/kolcov/kolc-071	А. В. Кольцов	NA			Домик лесника : «В темном лесе, за рекой...»			1832	1832	NA		художественная	стихотворение	н-возраст	н-уровень	большая	А. В. Кольцов. Полное собрание стихотворений. -- Л.: Сов. писатель, 1939				книга	поэтический	Х	4	регулярная : ммжж : жжмм	2	4	парная : ааББ : ААбб	Х4ж,м	перебои	28			texts_plain/xix/kolcov/kolc-071.txt	0	1832	1832	Втемномлесезарекой
P_105	NA	A-18	Бенедиктов В.Г.	Возвратись!	В поход мы рядились: все прихоти - в пламень	БдЧ	1836	Т. 16	NA	161-163	NA	Бенедиктов	Бенедиктов Владимир Григорьевич	1807	1873	1-233	Впоходмырядилисьвсеприхотивпламень	3262	xix/benediktov/bene-056	В. Г. Бенедиктов	NA			Возвратись! : «В поход мы рядились все прихоти -- в пламень...»			1836	1836	NA		художественная	стихотворение	н-возраст	н-уровень	большая	В. Г. Бенедиктов. Стихотворения. -- Л.: Советский писатель, 1939. (Библиотека поэта. Большая серия)				книга	поэтический	Аф	4	регулярная : жм	4	вольная	перекрестная : абаб	Аф4жм		80			texts_plain/xix/benediktov/bene-056.txt	0	1836	1836	Впоходмырядилисьвсеприхотивпламень
P_108	NA	A-113	Козлов И.И.	Тайна	В лесу, прибит на дубе вековом	БдЧ	1836	Т. 16	NA	169-170	Баллада	И. Козлов	Козлов Иван Иванович	1779	1840	3-5	Влесуприбитнадубевековом	6991	xix/kozlov/kozl-017	И. И. Козлов	NA			Тайна : «В лесу прибит на дубе вековом...»			1836	1836	NA		художественная	стихотворение : баллада	н-возраст	н-уровень	большая	И. И. Козлов. Полное собрание стихотворений. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1960				книга	поэтический	Я	5	вольная : жм, м	4		перекрестная : абаб	Я5м, жм		44			texts_plain/xix/kozlov/kozl-017.txt	0	1836	1836	Влесуприбитнадубевековом
P_110	NA	A-18	Бенедиктов В.Г.	К Алине	Алина, вижу, ты прекрасна	БдЧ	1836	Т. 17	NA	191-192	NA	Бенедиктов	Бенедиктов Владимир Григорьевич	1807	1873	1-233	Алинавижутыпрекрасна	3279	xix/benediktov/bene-073	В. Г. Бенедиктов	NA			К Алине : «Алина, вижу: ты прекрасна...»			1836	1836	NA		художественная	стихотворение : послание	н-возраст	н-уровень	большая	В. Г. Бенедиктов. Стихотворения. -- Л.: Советский писатель, 1939. (Библиотека поэта. Большая серия)				книга	поэтический	Я	4	вольная : ж, м	0	вольная	вольная	Я4ж,м		39			texts_plain/xix/benediktov/bene-073.txt	0	1836	1836	Алинавижутыпрекрасна
P_121	NA	A-153	Ростопчина Е.П.	Зимний вечер	Когда порой зимы так рано вечереет	БдЧ	1836	Т. 18	NA	152-153	NA	Гр. А-а Р-а	Ростопчина (Растопчина) Евдокия Петровна	1811	1858	5-369	Когдапоройзимытакрановечереет	12913	xix/rostopchina/rost-031	Е. П. Ростопчина	NA			Зимний вечер : «Когда, порой зимы, так рано вечереет...»			1836.01	1836.01	NA		художественная	стихотворение	н-возраст	н-уровень	большая	Евдокия Ростопчина. Стихотворения Проза Письма. -- М., Сов. Россия, 1986				книга	поэтический	Я	регулярная : 6+6+4	регулярная : жжм	6		сложная : ааб ввб	Я6жж+Я4м		42			texts_plain/xix/rostopchina/rost-031.txt	0	1836	1836	Когдапоройзимытакрановечереет
P_122	NA	A-18	Бенедиктов В.Г.	Две сестры	Через все пути земные	БдЧ	1836	Т. 18	NA	153-154	NA	Бенедиктов	Бенедиктов Владимир Григорьевич	1807	1873	1-233	Черезвсепутиземные	3270	xix/benediktov/bene-064	В. Г. Бенедиктов	NA			Жизнь и смерть : «Через все пути земные...»			1836	1836	NA		художественная	стихотворение	н-возраст	н-уровень	большая	В. Г. Бенедиктов. Стихотворения. -- Л.: Советский писатель, 1939. (Библиотека поэта. Большая серия)				книга	поэтический	Х	4	вольная : ж, м	0		вольная	Х4ж,м		49			texts_plain/xix/benediktov/bene-064.txt	0	1836	1836	Черезвсепутиземные
P_124	NA	NA	NA	Жнецы	Однажды вечерел прекрасный летний день	БдЧ	1836	Т. 18	NA	156-157?	NA	NA	NA	NA	NA	NA	Однаждывечерелпрекрасныйлетнийдень	6978	xix/kozlov/kozl-004	И. И. Козлов	NA			Жнецы : «Однажды вечерел прекрасный летний день...»			1836	1836	NA		художественная	стихотворение	н-возраст	н-уровень	большая	И. И. Козлов. Полное собрание стихотворений. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1960				книга	поэтический	Я	6	регулярная : ммжж	2 : александрийский стих	вольная	парная : аа	Я6ммжж		46			texts_plain/xix/kozlov/kozl-004.txt	0	1836	1836	Однаждывечерелпрекрасныйлетнийдень
P_127	NA	A-113	Козлов И.И.	Поэт и буря	О дивный Оссиан! мечтая о туманах	БдЧ	1836	Т. 19.	NA	13-14	Из поэмы “Jocely” Ламартина	И. Козлов	Козлов Иван Иванович	1779	1840	3-5	ОдивныйОссианмечтаяотуманах	6975	xix/kozlov/kozl-001	И. И. Козлов	NA	А. де Ламартин	французский	Поэт и буря (Из поэмы «Jocelyn» Ламартина) : «О дивный Оссиан! мечтая о туманах...»			1836	1836	NA	неточная	художественная	стихотворение : перевод	н-возраст	н-уровень	большая	И. И. Козлов. Полное собрание стихотворений. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1960				книга	поэтический	Я	6	регулярная : жжмм	2 : александрийский стих	0	парная : аа	Я6жжмм		36			texts_plain/xix/kozlov/kozl-001.txt	0	1836	1836	ОдивныйОссианмечтаяотуманах
