"","id","COL_ID","poetry_prose","book_type","genre","special_tag","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","group","group_abbr","group_eng","A_ID","path","true_year","descr"
"13",95,"COL_19","v","col","lyr","","Аполлон де ***","Аполлон де ***","","Стихотворения Аполлона де ***","М.","Селивановского",1836,41,8,24,"ЧБ","https://books.google.com/books?id=Si2NzYwy5K8C&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_20","../../data/collections//95_1836.txt","1836","Стихотворения Аполлона де * * *. М., 1836: Очень много элегических клише"
"14",101,"COL_23","v","col","lyr","","Кашкин Д.","Кашкин Д.Е.","Кашкин Дмитрий Евгеньевич","Сочинения Дмитрия Кашкина: В 3 т. Т. 1","М.","Степанова",1836,468,8,21,"","drive/natasha","Сборники стихотворений","col_lyr","Lyric collections","A_22","../../data/collections//101_1836.txt","1836","Кашкин. т.1: Включает в себя поэмы, трагедии, романсы и мелкие стихотворения "
"15",124,"COL_38","pr","col","lyr","","Кульчицкий А.","Кульчицкий А.","Кульчицкий Александр Яковлевич","Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий [Студ. сб.]","Харьков","Ун. тип",1836,284,8,20,"","drive/photos/17","Сборники стихотворений","col_lyr","Lyric collections","A_33","../../data/collections//124_1836.txt","1836","Надежда, собрание сочинений в стихах и прозе. Изд. А. Кульчицкий. Харьков, 1836 -- по большей части проза; альманах "
"16",107,"COL_24","pr","col","lyr","","Лавров Н.","Лавров Н.","Лавров Н.","Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова","СПб.","Вингебера",1836,73,8,26,"","drive/photos/15","Сборники стихотворений","col_lyr","Lyric collections","A_23","../../data/collections//107_1836.txt","1836"," Нравственные результаты и стихотворения Н. Лаврова: гладкие стихи в духе 1820-х, альбомные"
"17",128,"COL_143","v","col","lyr","double","Майков М.","Майков М.А.","Майков Михаил Александрович","Басни Михайла Майкова","Ярославль","Губ. правления",1836,30,8,22,"","","Сборники стихотворений","col_lyr","Lyric collections","A_34","../../data/collections//128_1836.txt","1836","Басни Михайла Майкова. Ярославль: тип. Губ. пралвнеия, 1836 "
"18",111,"COL_25","v","col","lyr","","Мейснер А.","Мейснер А.Я.","Мейснер Алексей Яковлевич","Стихотворения Алексея Мейснера","М.","Семена",1836,270,12,19,"ЧБ","https://books.google.com/books?id=iHZpAAAAcAAJ&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_24","../../data/collections//111_1836.txt","1836","Стихотворения Алексея Мейснера. М., 1836 :  "
"19",112,"COL_27","v","col","lyr","double","Полежаев А.И.","Полежаев А.И.","Полежаев Александр Иванович","Кальян. Стихотворения Полежаева / Изд. 2","М.","Ун. тип",1836,131,12,17,"ЧБ","https://books.google.com/books?id=tiCc6NXOlU0C&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_26","../../data/collections//112_1836.txt","1838","Кальян. Стихотворения Александра Полежаева. М., 1838 (изд. 3-е) "
"20",113,"COL_28","v","col","lyr","double","Пуговишников А.М.","Пуговишников А.М.","Пуговишников Александр Михайлович","Песни, романсы и стихотворения А.П. / Изд. 2","М.","Кирилова",1836,95,16,15,"","","Сборники стихотворений","col_lyr","Lyric collections","A_27","../../data/collections//113_1836.txt","1836","""Песни, романсы и стихотворения"" (Пуговишников): несколько песен, много нарушений против языка, пунктуации и метра (унифицировано)"
"21",114,"COL_29","v","col","lyr","","Суханов М.","Суханов М.Д.","Суханов Михаил Дмитриевич","Время не праздно. Стихотворения крестьянина М. Суханова","СПб.","Вингебера",1836,112,12,17,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000951&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_28","../../data/collections//114_1836.txt","1836","Время не праздно, соч. Суханова; пропущены с. 30-31 "
"22",115,"COL_30","v","col","lyr","","Суханов М.","Суханов М.Д.","Суханов Михаил Дмитриевич","Мои сельские досуги","СПб.","Вингебера",1836,110,12,17,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000950&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_28","../../data/collections//115_1836.txt","1836","Мои сельские досуги. Стихотворения крестьянина М. Суханова. СПб., 1836"
"23",118,"COL_33","v","col","lyr","","Тростин Х.","Тростин Х.Д.","Тростин Христофор","Стихотворения Христофора Тростина","М.","Ун. тип",1836,32,8,24,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections","A_31","../../data/collections//118_1836.txt","1836","Стихотворения Христофора Тростина. М., 1836. Довольно хорошие стихотворения в московском духе рубежа 1820-1830 + пара религиозных "
"24",343,"COL_222","v","col","lyr","","","Ушаков А.А.","Ушаков А.А.","Рукописи из зеленого портфеля","М.","Семена",1836,182,NA,22,"ЧБ","https://books.google.com/books?id=ncYzMSLF4v0C&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_135","../../data/collections//343_1836.txt","1836","Рукописи из зеленого портфеля. I. М., 1836. Исключены как нарративные: Сиротка 113-122, Русалки"
"25",131,"COL_206","pr","col","lyr","","Щукин К.","Щукин К.","Щукин К.","Литературные занятия","СПб.","Акад. наук",1836,252,8,20,"ЧБ","https://books.google.com/books?id=Y0c64PMcHJQC&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_302","../../data/collections//131_1836.txt","1836","Литературные занятия. СПб.: В тип. Имп. Акад. Наук, 1836. Стихотворения занимают только 30+ от ~260 стр сборника "
