ID	A-ID	Author	Title	City	Printed_in (В тип. )	Year	Sovr	Sovr_score	OZ	OZ_score	CO	CO_score	MN	MN_score	Telescope	Telescope_score	JMNP_ukazatel	JMNP_date	JMNP	JMNP_sign	JMNP_score	Sev_pchela	Sev_pchela_reviewer_sign	Sev_pch_score	BdCH	BdCH_score	Other
COL_50		Кашаев В. 	Стихотворения Виктора Кашаева	М.	Кирилова	1837											1837. Ч. 15. № 8. С. 91	07.1837				1837. № 188. 23 авг. С. 749	М.	neg	1837. Т. 23. С. 47-49	"neg; но отмечено и хорошее?"	
COL_51		Мартынов А. 	Поэтические произведения А. Мартынова. В 3-х кн.	СПб.	Вингебера	1837											1837. Ч. 16. № 12. С. 146-147	11.1837							1837. Т. 25. С. 46-48	neg	
COL_52		Подолинский А. 	Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения	СПб.	А. Смирдина, И. Глазунова и Ко	1837					1837. Ч. 188. № 21. С. 60-68	pos					1837. Ч. 13. № 3. С. 17. Указ: Фев 1837	02.1837	1839. Ч. 23. Отд. VI. С. 118		pos	1837. № 166. 27 июл. С. 661-663	Р.М.	pos	1837. Т. 21. С. 36-39	pos	
COL_53		Скосырев К.	Стихотворения Константина Скосырева	М.	Кирилова	1837					1838. Т. 2. Отд. 4. С. 78	neg					1837. Ч. 16. № 12. С. 132	10.1837				1838. № 5. 7 янв. С. 19		neg	1838. Т. 26. С. 1-2	neg	
COL_54		Смирнова А.	Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е	СПб.	Вингебера	1837											1837. Ч. 16. № 12. С. 132	10.1837	1839. Ч. 23. Отд. VI. С. 118		pos				1837. Т. 25. С. 48-50	neg	
COL_55		Соколовский В.И.	Мироздание [Опыт духовного стихотворения]. Изд. 2-е	СПб.	Греча	1837					1837. Ч. 185. № 11. С. 304-318	pos										1837. № 135. 19 июн. С. 537-540	Федор Кони	pos	1837. Т. 25. С. 43-46	pos?	
COL_56		Тимофеев А.В.	Опыты ч.1-3	СПб.	Н. Глазунова	1837					1837. Ч. 184. № 7. С. 368-376	neg													1837. Т. 21. С. 10-12	pos	
COL_57		Якубович Л.А.	Стихотворения Лукьяна Якубовича	СПб.	Гутенбергова тип.	1837					1837. Ч. 185. № 9. С. 58-68	pos					1837. Ч. 14. № 5. С. 46	04.1837	1839. Ч. 23. Отд. VI. С. 118		pos	"1837. № 93. 29 апр. С. 369-371; № 94. 30 апр. С. 373-375"	Т.	pos	1837. Т. 23. С. 1-4	???	
COL_58			Стихи на открытие типографии	СПб.	Вингебера	1837																					
COL_59			Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева	СПб.	Военн. тип.	1837	1838. Т. 9. С.  85-87	pos			1838. Т. 1. № 2. С. 135-136	pos										1838. № 4. 5 янв. С. 15		pos	1838. Т. 26. С. 44-46	pos	
COL_146		Стромилов С.	XII сонетов С. Стромилова	М.	А. Семена	1837						 					1837. Ч. 16. № 12. С. 147	11.1837	1839. Ч. 23. Отд. VI. С. 118		???	1838. № 9. 12 янв. С. 34-35		neg	1838. Т. 26. С. 47-48	neg	
COL_147			Звезда любви (L’etoile d’amour). Подарок прелестному полу	М.	Эрнста	1837	1838. Т. 11. С. 61-62	neg			1838. Т. 4. Отд. 4. С. 56-57	neg										1838. № 198. С. 791	А.	neg			
COL_148		Громов И.	Мой кальян: Стихотворения И. Громова	М.	Лазаревых института восточных языков	1837																1837. № 289. 20 дек. С. 1152	М.	neg	1837. Т. 25. С. 4-6	neg	
COL_149		Пустельгин	Мои пенаты: Стихотворения Пустельгина	СПб.	Крайя	1837											1837. Ч. 14. № 5. С. 47	04.1837							1837. Т. 22. С. 13	pos	
COL_150		Магденка А.	Стихотворения Андрея Магденки / Изд. 2.	СПб.	Греча	1837											1837. Ч. 14. № 5. С. 46	04.1837							1837. Т. 22. С. 13	neg	
COL_151			Стихотворения молодого Черкеса	М.	Ун. тип	1837											1837. Ч. 13. № 3. С. 17. Указ: Фев 1837	02.1837							1837. Т. 21. С. 3	neg	
COL_152		Мысовский-Светогорский С. 	Элиза: Элегия	М.	Смирнова	1837											1837. Ч. 14. № 5. С. 47	04.1837	1839. Ч. 23. Отд. VI. С. 118		???				1837. Т. 22. С. 11-12	neg	
COL_153		Петров П.	Стихотворения И. Петрова. Книга 1-я, содержащая эпиграммы	М.	Ун. тип	1837											1837. Ч. 14. № 5. С. 47	04.1837							1837. Т. 22. С. 11-12	neg	
