ID	type	DC	phys_ailable_in	A_ID	Author	Title	City	Printed_in (В тип. )	Year	ЦР	Notes	Olhin	См-Сок	Available_in	РГИА билет / Одобр. ЦИАМ
COL_110	sluch		unknown			Стихотворение О.И. Сейсровичу 6 февраля 1839 года	СПб.	Сахарова	1839						07.02.1839
COL_111	sluch		рнб			Стихотворение Графу Льву Григорьевичу Салтыкову в день его ангела 20 февраля 1839	СПб.	Сахарова	1839						18.02.1839
COL_112	otd		unknown	A-87	Поднебесный	Стихотворение: Мысли при гробе Графа С[…]ского. Соч. Поднебесного			1839						04.04.1839
COL_113	col			A-95	Струйский Д.Ю.	Мелодии Д.Ю. Струйского для тенора с аккомпанементом пиано-форте	СПб.	Гинца	1839						18.04.1839
COL_114	col		рнб	A-102	Мягков Н.Н.	Опыты в стихах Н. Мягкова	СПб.	Акад. наук	1839		рнб: Мягков, Николай Иванович (1828-после 1841)	5223			13.06.1839
COL_115			unknown			Собрание российских романсов и песен			1839						17.10.1839
COL_116			unknown			Наши забавы: Стихотворения			1839						10.01.1839
COL_117			unknown			Лирическая поэзия [от канцеляриста Логинова]			1839						20.10.1839
COL_118						Луна. Альманах [от моск. мещанина Михайлова]			1839						24.05.1839
COL_119	col		ргб			Бородинские акростихи	М.	А. Семена	1839		СО: намек на автора “жертва Рогова” ??	5531			19.08.1839
COL_120			unknown		Введенский	Стихотворения А-а. [От студента Введенского]			1839		нет такого автора в журналах тоже				28.09.1839
COL_121	sluch		unknown			Стихи на день рождества Христова			1839						07.11.1839
COL_122	sluch		unknown			Ода на пребывание Имп. Ник. Павловича в Москве на заложении храма Христа Спасителя			1839						24.11.1839
COL_123	sluch		unknown			Стихи на новый 1840 год [От швейцара немецкого клуба Анисима Сергеева. 2 стр.]			1839						23.12.1839
COL_176	col			A-81	Раевич И.А.	Досужные вечера. Сочинение Ивана Раевича	М.	Ун. тип	1839		вроде была в цензуре	5208			
					Могила А.	Думки и песни ma cure de curo Амвросия Могилы. Издал Метланский	Харьков	Ун. тип	1839		СО.1839. Т. 8. Отд. 4. С. 150: на малороссийском наречии	5209			
COL_178	sluch	ргб		A-105	Харинский Х.	Гимн на восшествие Государя Императора Николая 1-го на Всероссийский престол. Написана Хрисанфом Харинским	СПб.	Фишера	1839		https://dlib.rsl.ru/viewer/01003559988#?page=4	5435			
COL_179	sluch		рнб			Куплеты, петые в день юбилея 50-ти летней службы И.Ф. Крузенштерна 21 января 1839 года	СПб.	Греча	1839			5459			
COL_180	sluch		рнб	A-59	Орлов А.А.	Радостная встреча нового 1839 года, благодетельсвующим россиянам. Соч. Александра Орлова	М.	Смирнова	1839			5550			
COL_181	sluch	Y		A-106	Шаховской А.А.	В день заложения Храма Спасителя в Москве, 1839 года, 10 сентября. Соч. Шаховского	М.	Смирнова	1839		https://bibra.ru/composition/stihi-v-den-zalozheniya-hrama-spasitelya-v-moskve-1839-goda-10-sentyabrya/	5571			
COL_183	col		unknown	A-107	Яковлев Я.	Двенадцать басен	СПб.	Вингебера	1839						
COL_184	otd		рнб	A-111	Данков И.И.	Красное яичко, или Светлодневный подарок Москвичам И.Д. С картинкою: Сб. стихотворений	М.	Ун. тип	1839		СО: указано М., 1840	6663			
COL_185	otd		рнб	A-111	Данков И.И.	Блины. Соч. И. Д.: Стихотворения	М.	Ун. тип	1839						
COL_201	alm		ргб	A-62	Бобылев Н.И.	Невский альбом. Литературный сборник, издаваемый Николаем Бобылевым	СПб.	Штаба отд. корп. внутр. стражи	1839		Теперь действительно альманах	4352	467		
COL_202	alm	ргб				Опыты в Русской Словесности воспитанников Гимназии Белорусского Учебного Округа. Напечатанные по приказанию Г. Министра Народного Просвещения	Вильно	Гликсберга	1839		https://dlib.rsl.ru/viewer/01003559963#?page=1	4356	471		
COL_210	alm		ргб			Одесский Альманах, на 1839 год	Одесса	В город. т.	1839			4355	469		
COL_211	alm		ргб			Одесский Альманах, на 1840 год	Одесса	В город. т.	1839			4355	470		
COL_124	col_alm		ргб	A-109	Анордист Н.	Альманах на 1840 год / Н. Анордиста	М.	А. Семена	1840		Альманах одного автора	4369	475		01.11.1839(?)
COL_125	alm	ргб		A-65	Владиславлев В.А.	Утренняя заря Альманах Владиславлева на 1841 год	СПб.	Отд. собств. его И.В. канц.	1840		https://dlib.rsl.ru/viewer/01006560844#?page=3				22.11.1840
COL_126	col			A-110	Давыдов Д.В.	Сочинения в стихах и прозе Дениса Давыдова	СПб.	А. Смирдина	1840		Посмертное издание	4390			11.06.1840
COL_127	otd		ргб	A-111	Данков И.И.	Могила боярина Артамона Сергеевича Матвеева: [Стихотворение]	М.	Степанова	1840						
COL_128	col		ргб	A-66	Демидов М.А.	Дельные безделки: Стихотворения М. Демидова	М.	А. Семена	1840			5210			
COL_129	col		ргб	A-112	Долгоруков А.И.	Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого	М.	Степанова	1840						
COL_130	col	ргб		A-113	Козлов И.И.	Собрание стихотворений Ивана Козлова	СПб.	III Отд. собств. Е.И.В. канц.	1840		https://dlib.rsl.ru/viewer/02000000536#?page=1				ч. 2. 24.09.1840
COL_131	col	Y		A-114	Лермонтов М.Ю.	Стихотворения М. Лермонтова	СПб.	Глазунова и Ко	1840			5276			28.10.1840
COL_132	col	ргб		A-115	Некрасов Н.А.	Мечты и звуки. Стихотворения Н.Н.	СПб.	Е. Алипанова	1840		https://dlib.rsl.ru/viewer/01006581005#?page=1	5216			
COL_133	col		ргб	A-116	Папкевич А.	Стихотворения Александра Папкевича	СПб.	3 Деп. М-ва гос. имуществ	1840			5287			02.04.1840
COL_134	col		ргб	A-117	Слепушкин Ф.Н.	Новые досуги сельского жителя. Соч. Федора Слепушкина	СПб.	Рос. Акад.	1840		"ргб; переиздание сб. 1834 ?"	5223			05.04.1840
COL_135	col	Y	ргб	A-118	Фет А.А.	Лирический пантеон. А.Ф.	М.	Селивановского	1840						
COL_136	col		ргб	A-119	Филимонов П.С.	Опыты П.С. Филимонова	М.	Ун. тип	1840			5227			
COL_137	alm		ргб	A-120	Эртель В.А.	Цветник русской литературы, содержащий в себе избранные образцы из русских классиков, расположенные в систематическом порядке	СПб.	Шмицдорф	1840						15.09.1840
				A-10	Мятлев И.П.	Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов	СПб.		1840		поэма				
COL_187	otd	ргб				Три песни патриота	СПб.	3 Деп. М-ва гос. имуществ	1840		"розанов; https://dlib.rsl.ru/viewer/01003560269#?page=1"	5454			
COL_188	alm		ргб	A-62	Бобылев Н.И.	Невский альбом, издаваемый Николаем Бобылевым. Год второй. Т. 1.	СПб.	Воен. тип.	1840				477		
COL_189						Стихотворения Н.И.	М.		1840						
COL_190	col	tartu (ester)	рнб	A-121	Алексеев П.Ф.	Лирические стихотворения и сказки	Дерпт	Лаакманна	1840			5214			
COL_191	col		рнб	A-122	Саблин Е.И.	Полевой цветок: Стихотворения Евгения Саблина	Ярославль	Губ. правления	1840			5234			
COL_192	col			A-123	Любатевич С.	Стихотворения Спиридона Любатевича	М.	Ун. тип	1840			5277			
COL_193	col		рнб	A-124	Криксин	Романсы и песни. Соч. Криксина	Киев	Ун. тип	1840			5514			
COL_194	sluch			A-125	Маслеников-Какуев	Стихи тайному советнику М.А. Салтыкову, в день его тезоименинства. Соч. Масленикова-Какуева	М.	Селивановского	1840			5566			
COL_195	sluch			A-126	Рыбников	Стихи Директору Московской Практической Академии Статскому Советнику А.И. Шредеру. Соч. Рыбникова	М.	А. Семена	1840			5576			
COL_196	sluch					Стихи господам членам Немецкого клуба на 1840 год	М.	Степанова	1840			5577			
COL_197	sluch			A-59	Орлов А.	С радостными чувствами благоговения, жданный 1840 год. Соч. Александра Орлова	М.	Селивановского	1840			5581			
COL_198	otd		ргб	A-127	Ободовский П.	Царский цветник. На русском и немецком языках	СПб.	Глазунова и Ко	1840			6690		ргб	
COL_199			ргб			Басни Аристарха	Одесса	Городская тип.	1840		действительно Аристарх 2 в. до н.э.?	5610		ргб	
COL_205	alm		рнб	A-65	Владиславлев В.	Утренняя заря Альманах Владиславлева на 1840 год	СПб.	Плюшара	1840			4368	483		
COL_215	otd		ргб		Оранский Н.Д.	Песнь русского барда	М.	Ун. тип	1840			5445		ргб	
COL_216	col	ргб		A-129	Васильев М. 	Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева	М.	Селивановского	1840		https://dlib.rsl.ru/viewer/01003560031#?page=1	5473			
	otd			A-55	Мысовский-Светогорский С. 	Поэма о Сотворении мира	СПб.	Глазунова	1841		поэма				
COL_140			unknown	A-128	Оленозова	Собрание различных стихотворений с англ.(?) Олезоновой(?)	СПб.								27.10.1837
COL_182	col		рнб	A-5	Зилов А.	Басни Алексея Зилова	М.	Лазаревых	1835						
COL_222	col		рнб	A-135	Ушаков А.А.	Рукописи из зеленого портфеля	М.	А. Семена	1836		"про этот сб. см.: Баранов В. Судьба литературного наследства А.И. Полежаева // ЛН. 1934. Т. 15; в изд. Полежаева (БП?) этот сборник приписывают А.А. Ушакову: https://www.litmir.me/br/?b=556148&p=137"				
				A-27	Пуговишников А.М.	Собрание разных романсов, песен и стихотворений А. Пуговишникова	М.	Кирилова	1837		Это то же, что COL_28 ??? другое издание?				
COL_224	col		рнб	A-101	Шахова Е.Н.	Опыт в стихах пятнадцатилетней девицы Шаховой	СПб.	Вингебера	1837		перв. изд. 1837 г., есть изд 1839: https://dlib.rsl.ru/viewer/01003560015#?page=5				27.07.1837
COL_225	col	ргб		A-103	Олин В.	Странный бал. Повесть из рассказов на станции, и восемь стихотворений. Сочинение В. Олина	СПб.	III Отд. собств. Е.И.В. канц.	1838		"Источник: БдЧ; https://dlib.rsl.ru/viewer/01003559737#?page=1"				
COL_226	alm		рнб	A-27	Пуговишников А.М.	Романсы, песни и стихотворения, или Подарок на новый год любителям и любительницам пения. Сочинение А.П.	М.	Кирилова	1838						
COL_227	det	Y				Детский альбом на 1839 год, собрание стихотворений, повестей, рассказов и драматических разговоров, составленное А. Поповым. Год второй.	СПб.	III Отд. собств. Е.И.В. канц.	1839		скачала пдф с нэб				
COL_228	alm	Y		A-108	Глухарев И.Н.	Венок граций. Подарок любителям и любительницам пения и романсов, или Собрание разных стихов лучших и известных сочинителей, как то, А. Пушкина, И. Козлова, Г. Баратынского, и прочая. Собранные И… Г.л.у…вым	М.	Лазаревых	1838		есть на lib.pushdom		460		
COL_229	alm		ргб		Пенинский И.С.	Российская хрестоматия, или Отборные сочинения отечественных писателей в стихах и прозе: В 2 ч. Изд. 2-е	СПб.	Внутренней Стражи	1837					ргб	
						Труды Императорской Российской Академии. Ч. 1	СПб.	Рос. Акад.	1840		?				
COL_231	col		рнб			Разные стихотворения	М.	Лазаревых института восточных языков	1837		Отм. о выходе ЖМНП: апрель 1837				
COL_232	otd		ргб	A-41	Глинка Ф.Н.	1812 год. Отрывок из рассказа. Посвящено людям XII года. Ф.Н. Глинки	М.	Степанова	1839		В отзыве СО приводятся стихи				
COL_233	alm		ргб	A-104	Максимович М.	Киевлянин на 1840 год. Книга I. Изд. Михаил Максимович	Киев	Ун. тип	1840				476		
		ргб		A-41	Глинка Ф.Н.	Очерки Бородинского сражения (Воспоминания о 1812 годе). Сочинение Ф. Глинки, автора Писем русского Офицера	М.		1839		проза				
COL_235	otd		рнб	A-59	Орлов А.А.	Панорама Москвы и ее окрестности	М.	Селивановского	1836		не стихи?				
COL_236	sluch		рнб	A-59	Орлов А.А.	Торжественное заложение храма по имя Христа Спасителя	М.	Кирилова	1840						
	col		ргб	A-132	Веронов 	Стихотворения Веронова	СПб.	Сахарова	1838		Чувак с русскими песнями (см. рец. бдч)	5257		ргб	31.11.1838
COL_237	otd					Собрание стихов для конфект (печ. лист)	М.	Кирилова	1837						
COL_238	sluch					Речи и стихи, произнесенные в торжественном собрании Ярославского  Демидовского лицея 15 января 1838 года	М.	Ун. тип	1838						
COL_239	otd					Послание к О. Иоанну, в г. Новоалександровск	СПб.	Греча	1838						
COL_240	col				Серебренников В.	Три безделки	М.	Кирилова	1838						
COL_241	det					Гостинец милым малюткам на новый год, или собрание нравоучительных детских басен и сказов с картинками	М.	Кирилова	1839						
COL_242	alm	ргб				Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.	М.	Пономарева	1835		"перепечатки; ргб: https://dlib.rsl.ru/viewer/01003570149#?page=1"		422		
COL_243	alm		ргб			Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.	СПб.	Глазунова	1835				423		
COL_244	alm		ргб			Эвтерпа. Подарок любительницам и любителям пения. Собрание новейших романсов и песен. Изд. 2-е	М.	Пономарева	1836				449		
COL_245															
COL_246															
COL_247															
