ID	type	DC	phys_ailable_in	A_ID	Author	Title	City	Printed_in (В тип. )	Year	ЦР	Notes	Olhin	См-Сок	Available_in	РГИА билет / Одобр. ЦИАМ
COL_38	alm	Y		A-33	Кульчицкий А.	Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий	Харьков	Ун. тип	1836	13.02.1836	что-то типа студенческого альманаха, стихи и проза вперемешку 	4374	435		30.05.1836
COL_39	alm		ргб		Крыловский В.	Мое новоселье. Альманах на 1836 год, изд. В. Крыловским	СПб.	Крылова	1836	19.11.1835	Стихи и проза Гренов (см. отзыв БдЧ)		434		
COL_40						Радуга	СПб.	Иверина	1836		нет за 1836 ? есть за 1834 и конволют 1839 (ргб)				16.08.1836
COL_41	sluch					Сонет на картину К.П. Брюллова	СПб.	Крыловского	1836						02.09.1836
COL_142	sluch					Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну	М.	А. Семена	1836		"розанов; у Балакина есть дублирующая(?) запись: Князю Дмитрию Владимировичу Голицыну. М.: Тип. А. Семина, [1836]. 2 с."				
COL_143	col		ргб	A-34	Майков М.	Басни Михайла Майкова	Ярославль	Губ. правления	1836						
		ргб			Лебедев В. 	Правда русского гражданина	СПб.		1836		проза				
COL_145			рнб			Роза и Василек. Соч. А.Ф.Ф.	СПб.	Экс. загот. гос. бумаг	1836						
COL_206	col		ргб		Щукин К.	Литературные занятия	СПб.	Акад. наук	1836		"также: ольхин 6528; авторство раскр. по кат. РГБ"	4371		ргб	
COL_213	sluch				Тяпкин	Глас приветствия сирот своему попечителю отцу	М.	Лазаревых института восточных языков	1836			5436			
COL_219	sluch		ргб			Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях	М.	Ун. тип	1836			5603			
COL_42	col		ргб	A-36	Бахтурин К.А.	Стихотворения Константина Бахтурина	СПб.	Праца и К.	1837			5250			14.07.1837
COL_43	col	Y		A-37	Бернет Е. 	Стихи Е. Бернета	СПб.	Снегирева	1837	22.02.1837					4.07.1837
COL_44	col		рнб	A-38	Бороздна И.П.	Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны	М.	Селивановского	1837			6746			
COL_45	col		ргб	A-39	Бутырский Н.И.	И моя доля в сонетах. В 2 ч. Соч. Бутырского	СПб.	Вингебера	1837		розанов	5212			
COL_46	col	Y	гугл-букс 2 ч.	A-40	Быстроглазов А. 	Стихотворения А. Быстроглазова. В 2 ч.	СПб.	Вингебера	1837	23.07.1836		5255		гугл-букс 2 ч.	"13.09.1836 - ч1; 09.12.1836 - ч.2."
COL_47	sluch	Y		A-41	Глинка Ф.Н.	Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта	М.	Августа Семена. При имп. Мед.-хирург. Акад.	1837	11.02.1837					
COL_48	alm			A-42	Грен Н.	Вечера минувшей осени. Издание Н. Грена	СПб.	Крылова	1837		БдЧ: тип. Крыловского		450		25.02.1837
COL_49	col	Y		A-43	Дьячков С. 	Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым	СПб.	Вингебера	1837	15.05.1837	В цензуре проходил как: “Парнасский букет цветов, или разные стихотворения, соч. Дьячковым” — тот же заголовок у Ольхина	5230			18.06.1837
COL_50	col	Y		A-44	Кашаев В. 	Стихотворения Виктора Кашаева	М.	Кирилова	1837	17.06.1837		5217			циам 31.1.13а
COL_51	col	Y		A-45	Мартынов А. 	Поэтические произведения А. Мартынова. В 3-х кн.	СПб.	Вингебера	1837	02.12.1837	БдЧ: указано, что в сатирах ругается на всех классиков (странное явление)	5237			
COL_52	col	Y		A-46	Подолинский А. 	Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения	СПб.	А. Смирдина, И. Глазунова и Ко	1837	28.03.1836		5233			09.02.1837
COL_53	col		рнб	A-47	Скосырев К.	Стихотворения Константина Скосырева	М.	Кирилова	1837		розанов	5294			
COL_54	col	ргб		A-48	Смирнова А.	Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е	СПб.	Вингебера	1837		"розанов; БдЧ: указание на возможную мистификацию (Смирнова — якобы 15летняя стихотворица); https://dlib.rsl.ru/viewer/01003559653#?page=1"	5242			
COL_55	otd			A-49	Соколовский В.И.	Мироздание [Опыт духовного стихотворения]. Изд. 2-е	СПб.	Греча	1837		это скорее поэма				
COL_56	col		ргб	A-15	Тимофеев А.В.	Опыты ч.1-3	СПб.	Н. Глазунова	1837		"лежат в тарту! у Ольхина написано типографии: Гинце, Газенбергера, Праца; в БдЧ указана типа. Гинце"	4378			"ч.1. 24.02.1837; ч.2 : 5.11.1836 (???)"
COL_57	col		рнб	A-50	Якубович Л.А.	Стихотворения Лукьяна Якубовича	СПб.	Гутенбергова тип.	1837		розанов	5308			11.04.1837
COL_58	sluch					Стихи на открытие типографии	СПб.	Вингебера	1837						09.11.1837
COL_59	alm	ргб		A-65	Владиславлев В.А.	Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева	СПб.	Военн. тип.	1837		"БдЧ: год выхода — 1838; https://dlib.rsl.ru/viewer/01003570420#?page=2"	4338	459		23.12.1837
COL_146	col		рнб	A-51	Стромилов С.	XII сонетов С. Стромилова	М.	А. Семена	1837			5206			
COL_147	alm		ргб			Звезда любви (L’etoile d’amour). Подарок прелестному полу	М.	Н. Эрнста	1837		"у Балакина есть еще под 1838 г.; СО: 1838 год; рнб: экз. 1837, 1838; Смирнов-Сокольский: “Альманах одного автора, некоего П. Гр…ва (Григорьева?)”"		451		
COL_148	col		рнб	A-52	Громов И.	Мой кальян: Стихотворения И. Громова	М.	Лазаревых института восточных языков	1837			5222			
COL_149	col		рнб	A-53	Пустельгин	Мои пенаты: Стихотворения Пустельгина	СПб.	Крайя	1837		ценз? экз.: https://dspace.spbu.ru/bitstream/11701/5595/4/Pustelgin_Moi_Penaty_1837.pdf	5221			
COL_150	col		ргб	A-54	Магденко А.	Стихотворения Андрея Магденки. Издал И. Грен	СПб.	Греча	1837			5279			
COL_151	col		ргб			Стихотворения молодого Черкеса	М.	Ун. тип	1837			5309		ргб	
COL_152	otd		рнб	A-55	Мысовский-Светогорский С. 	Элиза: Элегия	М.	Смирнова	1837			5471			
COL_153	col			A-56	Петров И.М.	Стихотворения И. Петрова. Книга 1-я, содержащая эпиграммы	М.	Ун. тип	1837		"Первое изд.: 1833; физический экземпляр: рнб, 1833 г."	5609			
COL_154	col			A-57	Веревкин Н.Ф.	Солдатские песни первого пехотного корпуса	Вильна		1837		"Изначально опубл. БдЧ. 1837. Т.20; экз. рнб: 1885 (!) г., вып. 3 (https://vivaldi.nlr.ru/bn000010707/view/#page= )"				
COL_207	col_alm		ргб	A-58	Шаршавый	Цевница, на 1837 год. Соч. Шаршавого (Альманах)	СПб.	Вингебера	1837	05.12.1835		4395	458		05.12.1835
COL_209	alm		ргб			Старичок-весельчак, рассказывающий давние Московские были	М.	Евреинова	1837		по отзыву БдЧ: “собрание басен и сказок”	5218			
COL_214	otd	ргб		A-59	Орлов А.А.	Померцающая луна или покорения Брамлова. Героическая песнь	М.	Кирилова	1837		экз. ргб: https://dlib.rsl.ru/viewer/01003559578#?page=1	5442			
COL_220						Рассказы из русской истории в стихах. Соч. И. Ш.	М.	Лазаревых института восточных языков	1837			5607			
COL_221	alm		ргб			Минерва, на 1837 год. Альманах, изд. К. Инвалидовым	М.	Кирилова	1837			6517	454	ргб	
COL_60	col	ргб		A-60	Аладьина Е.В.	Сочинения Е.В.А…	СПб.	Вингебера	1838		https://dlib.rsl.ru/viewer/01003559619#?page=1				27.11.1838
COL_61	col		ргб	A-18	Бенедиктов В.	Стихотворения В. Бенедиктова. Кн. 2.	СПб.	Иверина	1838		БдЧ, ЖМНП: тип. Неймана				14.01.1838
COL_62	col		ргб	A-61	Бестужев А.А. (Марлинский)	Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е	СПб.	III Отд. собств. Е.И.В. канц.	1838		розанов				
COL_63	col_alm		ргб	A-62	Бобылев Н.И.	Невский альбом: Опыты в стихах и прозе	СПб.	Воен. тип.	1838		Авторский сборник Бобылева (См.-Сок.)	4373	462		
COL_64	col	Y		A-63	Вердеревский А. 	Стихотворения Александра Вердеревского	М.	Степанова	1838	27.06.1838	Посвящение: Анне Петровне Вердеревской	5256			
COL_65	col		ргб	A-64	Веронов 	Стихотворения Веронова	СПб.	Сахарова	1838		Чувак с русскими песнями (см. рец. бдч)	5257		ргб	31.11.1838
COL_66	alm		ргб	A-65	Владиславлев	Утренняя заря Альманах Владиславлева на 1839 год	СПб.	Фишера	1838			4368	474		15.11.1838
COL_67	col	Y		A-66	Демидов М. 	Разные разности. Стихотворения М. Демидова	М.	Августа Семена. При имп. Мед.-хирург. Акад.	1838	05.03.1838	Посвящение: “Посвящаю незабвенной памяти Александра Пушкина”	6674			
COL_68	otd	Y		A-67	Доброхотов Ф. 	Взгляд на поэзию Феофила Доброхотова	М.	Августа Семена. При имп. Мед.-хирург. Акад.	1838	20.03.1838	“Давно с парнаса раздается / Поэзия — глагол богов….” // два изд. в 1838, оба в т. Семена	5604			07.10.1838
COL_69	col		ргб	A-68	Долгоруков А.В.	Поэзия Алексея Москвитянина	М.	А. Семена	1838			6673			15.07.1838
COL_70	col		ргб	A-69	Карелин И.М.	Весенние мечты: Стихотворения Ильи Карелина	М.	Селивановского	1838		Другая запись из ЦИАМ 13б : 1839г. подано апр 15 / выдано апр 18				03.06.1838
				A-70	Костомаров Н.	Украинские баллады	Харьков	Ун. тип	1838		"У Балакина подпись: “Данилевский?”, стоит за 1839 год; это сб. на украинском языке"				16.09.1838
COL_72	col		рнб	A-71	Краснов С.	Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]	М.	Кирилова	1838		розанов				13.07.1838
COL_73	col		рнб	A-72	Леонов А.	Стихотворения Алексея Леонова. 1834-1838	Харьков	Губ. тип.	1839		БдЧ & СО: год выхода — 1839, рец в 1840	5275			24.12.1838
COL_74	col	ргб		A-73	Максимов М.И.	Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова	СПб.	Глазунова	1838		"розанов; вообще были изданы в 1836 в тип. Крайя; ргб: https://dlib.rsl.ru/viewer/01003559764#?page=1"	6742			циам
