"review_id","source_id","review_source","score","location"
"R_475","C_166","CO","pos","1837. Ч. 185. № 9. С. 58-68"
"R_478","C_166","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"R_479","C_166","Sev_pchela","pos","1837. № 93. 29 апр. С. 369-371; № 94. 30 апр. С. 373-375 -- Т."
"R_480","C_166","BdCH","???","1837. Т. 23. С. 1-4"
"R_489","C_169","Sovr","pos","1838. Т. 9. С.  85-87"
"R_491","C_169","CO","pos","1838. Т. 1. № 2. С. 135-136"
"R_495","C_169","Sev_pchela","pos","1838. № 4. 5 янв. С. 15"
"R_496","C_169","BdCH","pos","1838. Т. 26. С. 44-46"
"R_502","C_170","JMNP","???","1839. Ч. 23. Отд. VI. С. 118"
"R_503","C_170","Sev_pchela","neg","1838. № 9. 12 янв. С. 34-35"
"R_504","C_170","BdCH","neg","1838. Т. 26. С. 47-48"
"R_505","C_171","Sovr","neg","1838. Т. 11. С. 61-62"
"R_507","C_171","CO","neg","1838. Т. 4. Отд. 4. С. 56-57"
"R_511","C_171","Sev_pchela","neg","1838. № 198. С. 791 -- А."
"R_519","C_172","Sev_pchela","neg","1837. № 289. 20 дек. С. 1152 -- М."
"R_520","C_172","BdCH","neg","1837. Т. 25. С. 4-6"
"R_528","C_173","BdCH","pos","1837. Т. 22. С. 13"
"R_536","C_174","BdCH","neg","1837. Т. 22. С. 13"
"R_544","C_175","BdCH","neg","1837. Т. 21. С. 3"
"R_550","C_177","JMNP","???","1839. Ч. 23. Отд. VI. С. 118"
"R_552","C_177","BdCH","neg","1837. Т. 22. С. 11-12"
"R_560","C_178","BdCH","neg","1837. Т. 22. С. 11-12"
"R_574","C_180","JMNP","neg","1839. Ч. 23. Отд. VI. С. 125"
"R_575","C_180","Sev_pchela","neg","1837. № 130. 14 июн. С. 517-519 -- К."
"R_576","C_180","BdCH","neg","1837. Т. 23. С. 8-9"
"R_590","C_184","JMNP","neg","1839. Ч. 23. Отд. VI. С. 125"
"R_592","C_184","BdCH","neg","1837. Т. 22. С. 5-6"
"R_594","C_185","OZ","neg","1839. Т. 2. № 2. Отд. 7. С. 19-20"
"R_601","C_189","Sovr","pos","1838. Т. 9. С. 87-90"
"R_602","C_189","OZ","pos","1839. Т. 1. № 1. Отд. 7. С. 14"
"R_603","C_189","CO","neg","1838. Т. 2. Отд. 4. С. 86-96"
"R_607","C_189","Sev_pchela","neg","1838. № 14. 18 янв. С. 55"
"R_608","C_189","BdCH","pos","1838. Т. 26. С. 44-46"
"R_615","C_190","Sev_pchela","","1838. № 228. С. 907"
"R_617","C_697","Sovr","pos","1838. Т. 12. С. 70-71"
"R_619","C_697","CO","???","1838. Т. 5. Отд. 4. С. 61-62"
"R_625","C_192","Sovr","neg","1838. Т. 12. С. 69"
"R_627","C_192","CO","neg?","1838. Т. 5. Отд. 4. С. 60-61"
"R_633","C_193","Sovr","neg","1839. Т. 14. С. 32-33"
"R_635","C_193","CO","neg","1838. Т. 6. № 12. Отд. 4. С. 123-124"
"R_640","C_193","BdCH","pos; но с уколами","1839. Т. 32. С. 1-6"
"R_641","C_194","Sovr","pos","1839. Т. 13. С. 59-61"
"R_642","C_194","OZ","pos; предваряется рассказом об альманахах вообще","1839. Т. 2. № 2. Отд. 7. С. 1-12"
"R_643","C_194","CO","pos","1839. Т. 7. № 1. Отд. 4. С. 65-67"
"R_647","C_194","Sev_pchela","pos","1839. № 1. С. 2-3 -- Ф.Б."
"R_649","C_195","Sovr","neg","1838. Т. 12. С. 69-70"
"R_651","C_195","CO","neg","1838. Т. 4. Отд. 4. С. 125"
"R_655","C_195","Sev_pchela","neg","1839. № 159. С. 635"
"R_657","C_197","Sovr","neg","1839. Т. 13. С. 69-70"
"R_664","C_197","BdCH","neg","1838. Т. 31. С. 59-60"
"R_665","C_198","Sovr","neg","1838. Т. 12. С. 69-70"
"R_667","C_198","CO","neg","1838. Т. 4. Отд. 4. С. 122-125"
"R_673","C_199","Sovr","neg","1838. Т. 11. С. 61-62"
"R_680","C_199","BdCH","neg","1838. Т. 29. С. 28"
"R_681","C_200","Sovr","neg","1839. Т. 14. С. 32-33"
"R_682","C_200","OZ","neg","1839. Т. 2. № 3. Отд. 7. С. 144"
"R_690","C_201","OZ","neg","1839. Т. 5. Отд. 7. С. 131"
"R_691","C_201","CO","neg","1840. Т. 1. Кн. 3. С. 661-662"
"R_696","C_201","BdCH","pos; но с уколами","1840. Т. 38. С. 31"
"R_702","C_202","JMNP","pos; речь идет о первом издании, 1836?","1838. Ч. 20. № 12. С. 589"
"R_703","C_202","Sev_pchela","pos","1836. № 129. 9 июн. С. 513; 1838. № 277. С. 1106-1107 -- Z.Z.Z.; (указ. тип. Авг. Семена)"
"R_704","C_202","BdCH","pos; указ тип. Крайя (это изд. 1836 г.)","1836. Т. 17. С. 4; 1838. Т. 31. С. 60 (рец. на третье изд.)"
"R_705","C_203","Sovr","neg","1838. Т. 10. С. 61"
"R_707","C_203","CO","pos","1838. Т. 2. Отд. 4. С. 163-164"
"R_711","C_203","Sev_pchela","pos","1838. № 93. 27 апр. С. 371"
"R_712","C_203","BdCH","pos; с выписками","1838. Т. 28. С. 45-51"
"R_713","C_204","Sovr","neg","1838. Т. 12. С. 70"
"R_721","C_207","Sovr","neg","1838. Т. 10. С. 62"
"R_727","C_207","Sev_pchela","neg","1838. № 185. С. 738-739 -- А."
"R_728","C_207","BdCH","neg","1838. Т. 28. С. 5-7"
"R_729","C_208","Sovr","neg","1838. Т. 12. С. 67-68"
"R_731","C_208","CO","pos","1838. Т. 5. Отд. 4. С. 139-140"
"R_735","C_208","Sev_pchela","pos","1838. № 231. С. 923 -- Ф. Б."
"R_736","C_208","BdCH","neg?","1838. Т. 31. С. 1-11"
"R_738","C_209","OZ","pos","1839. Т. 1. № 1. Отд. 7. С. 14"
"R_743","C_209","Sev_pchela","pos","1838. № 277. С. 1106-1107"
"R_745","C_211","Sovr","neg","1838. Т. 12. С. 70"
"R_753","C_212","Sovr","neg","1839. Т. 13. С. 69-70"
"R_760","C_212","BdCH","neg","1838. Т. 31. С. 59-60"
"R_785","C_233","Sovr","neg","1838. Т. 10. С. 62-63"
