"баллада_1" "баллада_2" "баллада_3" "баллада_4" "баллада_5" "басня_1" "басня_2" "басня_3" "басня_4" "басня_5" "дума_1" "дума_2" "дума_3" "дума_4" "дума_5" "мелодия_1" "мелодия_2" "мелодия_3" "мелодия_4" "мелодия_5" "песнь_1" "песнь_2" "песнь_3" "песнь_4" "песнь_5" "песня_1" "песня_2" "песня_3" "песня_4" "песня_5" "послание_1" "послание_2" "послание_3" "послание_4" "послание_5" "романс_1" "романс_2" "романс_3" "романс_4" "романс_5" "сонет_1" "сонет_2" "сонет_3" "сонет_4" "сонет_5" "элегия_1" "элегия_2" "элегия_3" "элегия_4" "элегия_5"
"мой" 1.41176470588235 0.251572327044025 1.42348754448399 0 0.541125541125541 0.527426160337553 0.554938956714761 0.645161290322581 0.705882352941177 0.10989010989011 0.470957613814757 0.573394495412844 0.700280112044818 0.520833333333333 0.933333333333333 1.19189511323004 1.00200400801603 1.65094339622642 0.446428571428571 1.38888888888889 0.561009817671809 1.13507377979569 0.24390243902439 0.785340314136126 0.422535211267606 1.78082191780822 1.11386138613861 0.861141011840689 0.693481276005548 1.64609053497942 0.701402805611222 0.306435137895812 0.515463917525773 1.08813928182807 0.539956803455723 1.28700128700129 2.33463035019455 1.35135135135135 1.08043217286915 2.58620689655172 0.709219858156028 0.668449197860963 0.8 0.249687890137328 1.14068441064639 0.92678405931418 0.890207715133531 0.889877641824249 1.0919017288444 0.631768953068592
"она" 1.17647058823529 1.0062893081761 0.593119810201661 1.04602510460251 0.649350649350649 1.16033755274262 0.332963374028857 0.752688172043011 0.823529411764706 0.989010989010989 0.941915227629513 0.91743119266055 0.700280112044818 1.30208333333333 1.2 1.90703218116806 1.30260521042084 0.707547169811321 1.33928571428571 0.694444444444444 1.26227208976157 0.794551645856981 0.24390243902439 0.523560209424084 0.28169014084507 0.821917808219178 1.23762376237624 0.861141011840689 1.10957004160888 0 0.100200400801603 0.408580183861083 0.927835051546392 0.108813928182807 0.755939524838013 0.900900900900901 1.03761348897536 1.21621621621622 0.720288115246098 1.47783251231527 0.709219858156028 0 0.4 0.374531835205993 0.380228136882129 0.278035217794254 1.48367952522255 0.444938820912125 0.272975432211101 0.36101083032491
"что" 0.705882352941177 0.880503144654088 1.30486358244365 0.732217573221757 0.216450216450216 1.05485232067511 1.22086570477248 0.967741935483871 0.470588235294118 0.989010989010989 0.156985871271586 1.03211009174312 0.560224089635854 0.390625 0.533333333333333 0.476758045292014 0.701402805611222 1.06132075471698 0.111607142857143 0.416666666666667 0.561009817671809 0.794551645856981 0.48780487804878 0.392670157068063 0.422535211267606 1.0958904109589 1.23762376237624 0.645855758880517 0.970873786407767 0.548696844993141 0.601202404809619 1.02145045965271 0.515463917525773 0.652883569096844 0.323974082073434 0.386100386100386 1.16731517509728 0.810810810810811 0.960384153661465 0.738916256157635 0.354609929078014 0 0.266666666666667 0.374531835205993 0.633713561470216 1.0194624652456 1.08803165182987 0.667408231368187 0.0909918107370337 0.72202166064982
"но" 0.352941176470588 0.50314465408805 0.830367734282325 0.523012552301255 0.541125541125541 0.738396624472574 0.776914539400666 0.53763440860215 1.05882352941176 0.879120879120879 0.470957613814757 0.573394495412844 0.700280112044818 1.04166666666667 0.666666666666667 0.715137067938021 0.400801603206413 0.589622641509434 0.78125 0.972222222222222 0.561009817671809 0.454029511918275 0.609756097560976 0.523560209424084 0.563380281690141 0.273972602739726 0.247524752475248 1.39935414424112 0.13869625520111 0.823045267489712 0.601202404809619 1.22574055158325 0.515463917525773 1.08813928182807 0.647948164146868 0.514800514800515 0.907911802853437 0.540540540540541 0.960384153661465 0.369458128078818 0.354609929078014 0.802139037433155 0.4 0.374531835205993 1.01394169835234 0.556070435588508 0.593471810089021 0.333704115684093 0.636942675159236 0.902527075812274
"мы" 0.117647058823529 0.125786163522013 0.355871886120996 0.209205020920502 0.108225108225108 0.421940928270042 0.221975582685905 0.43010752688172 0.352941176470588 0.989010989010989 0.313971742543171 1.26146788990826 1.12044817927171 1.82291666666667 2.26666666666667 0.119189511323004 0.200400801603206 0.117924528301887 0.558035714285714 0.555555555555556 0.841514726507714 0.454029511918275 0.853658536585366 0.523560209424084 0.28169014084507 0.821917808219178 0.618811881188119 0.215285252960172 1.10957004160888 0.411522633744856 0.701402805611222 1.32788559754852 0.927835051546392 0.652883569096844 1.18790496760259 0.257400257400257 0.907911802853437 0.675675675675676 0.480192076830732 0.862068965517241 0.354609929078014 0 0 0.749063670411985 0.126742712294043 0.185356811862836 0.593471810089021 0.222469410456062 0.0909918107370337 0.902527075812274
"к" 0.823529411764706 0.251572327044025 0.830367734282325 0.732217573221757 0.324675324675325 0.527426160337553 0.665926748057714 0.43010752688172 0.588235294117647 0.879120879120879 0.156985871271586 0.573394495412844 0.560224089635854 0.520833333333333 0.133333333333333 0.238379022646007 0.501002004008016 0.235849056603774 0.669642857142857 0.277777777777778 0.701262272089762 0.908059023836549 0.365853658536585 0.392670157068063 0.845070422535211 0.273972602739726 0.742574257425743 0.322927879440258 0.832177531206657 0.411522633744856 0.501002004008016 1.43003064351379 0.515463917525773 0.652883569096844 0.431965442764579 0.643500643500644 1.03761348897536 0.810810810810811 0.360144057623049 0.61576354679803 0.591016548463357 0.802139037433155 0.8 0.124843945068664 0.380228136882129 0.278035217794254 0.494559841740851 0.667408231368187 0.545950864422202 0.451263537906137
"они" 0.470588235294118 0.377358490566038 1.18623962040332 0.209205020920502 0.324675324675325 0.843881856540084 1.77580466148724 0.32258064516129 1.05882352941176 1.0989010989011 0.156985871271586 0.229357798165138 0 0.651041666666667 0.533333333333333 0.715137067938021 0.400801603206413 0.471698113207547 0.223214285714286 0.138888888888889 0.701262272089762 0.454029511918275 0.609756097560976 0.654450261780105 0.422535211267606 0.410958904109589 0.866336633663366 1.07642626480086 1.24826629680999 0.274348422496571 0.601202404809619 0.715015321756895 0.927835051546392 0.326441784548422 0.431965442764579 0.257400257400257 0.648508430609598 0.27027027027027 0.360144057623049 0.123152709359606 0.472813238770686 0.401069518716578 0.8 0.374531835205993 0.253485424588086 1.0194624652456 0.593471810089021 0.778642936596218 0.272975432211101 0.0902527075812274
"твой" 0.470588235294118 0.377358490566038 0.593119810201661 0.104602510460251 0.649350649350649 0.210970464135021 0.443951165371809 0.43010752688172 0.235294117647059 0.10989010989011 0 0 0.280112044817927 0.651041666666667 0.8 0.595947556615018 0.801603206412826 0.35377358490566 0.446428571428571 0.277777777777778 1.54277699859748 0.454029511918275 0.609756097560976 0.130890052356021 0.140845070422535 0.684931506849315 0.495049504950495 0.215285252960172 0 0.274348422496571 1.20240480961924 0.715015321756895 0.618556701030928 0.652883569096844 0.431965442764579 1.02960102960103 0.518806744487678 1.08108108108108 0.480192076830732 0.61576354679803 0.8274231678487 0.668449197860963 1.06666666666667 1.12359550561798 0.380228136882129 0.556070435588508 0.494559841740851 0.778642936596218 0.454959053685168 0.631768953068592
"душа" 0.352941176470588 0.125786163522013 0 0.104602510460251 0 0 0 0.10752688172043 0.117647058823529 0.10989010989011 0.313971742543171 0.573394495412844 0.280112044817927 0.130208333333333 0.666666666666667 0.476758045292014 0.501002004008016 0.825471698113208 0.78125 0.972222222222222 0.140252454417952 0.227014755959137 0.48780487804878 0.392670157068063 0.140845070422535 0.547945205479452 0.371287128712871 0.107642626480086 0.693481276005548 0.685871056241427 0.901803607214429 0.612870275791624 0.721649484536082 0.326441784548422 0.971922246220302 0.772200772200772 0.907911802853437 0.810810810810811 0.720288115246098 0.61576354679803 0.709219858156028 0.401069518716578 0.933333333333333 0.749063670411985 0.887198986058302 0.92678405931418 1.08803165182987 0.778642936596218 0.636942675159236 0.270758122743682
"свой" 1.05882352941176 0.754716981132076 0.355871886120996 0.313807531380753 0.541125541125541 0.949367088607595 1.22086570477248 1.0752688172043 0.470588235294118 0.769230769230769 0.313971742543171 0.114678899082569 0.140056022408964 0.130208333333333 0.533333333333333 0.595947556615018 0.501002004008016 0.943396226415094 0.558035714285714 0.972222222222222 0.561009817671809 0.794551645856981 0.48780487804878 0.654450261780105 0.422535211267606 0.410958904109589 0.371287128712871 0.107642626480086 0 0 0.400801603206413 0.306435137895812 0.618556701030928 0.326441784548422 0.647948164146868 0.257400257400257 0.389105058365759 0.135135135135135 0.480192076830732 0.492610837438424 0.354609929078014 0.133689839572193 0.266666666666667 0.249687890137328 0.126742712294043 0.556070435588508 0.395647873392681 0.667408231368187 0.0909918107370337 0.451263537906137
