"","id","id_st","text","meter"
"28","P_1006","P_1006_5","И мы вошли'... Всё бы'ло так споко'йно!
Так всё от ве'ка ми'рно и темно'!
Фонта'н журча'л; недви'жимо и стро'йно
Сосе'дний кипари'с гляде'л в окно'.","iamb"
"29","P_1006","P_1006_6","Вдруг всё смути'лось: су'дорожный тре'пет
По ветвя'м кипари'сным пробежа'л;
Фонта'н замо'лк - - и не'кий чу'дный ле'пет,
Как бы сквозь сон, невня'тно прошепта'л.","iamb"
"30","P_1006","P_1006_7","Что э'то, друг? Иль зла'я жизнь неда'ром,
Та жизнь, увы'! что в нас тогда' текла',
Та зла'я жизнь, с её мяте'жным жа'ром,
Че'рез поро'г заве'тный перешла'?
","iamb"
"31","P_1007","P_1007_1","Наде'жда бу'дущих времён ,
Насле'дник пе'рвой вла'сти ми'ра ,
Чья всемогу'щая порфи'ра
Покро'ет ты'сячи племён —
Чтоб с Ру'сской свы'кнуться землёю
Знако'миться Ты е'дешь с не'ю ;
Ты хо'чешь ви'деть, слы'шать, знать
Дух, ну'жды, сре'дства, си'лы кра'я,
Как друг к нам ру'ку простира'я
Се'рдца зара'не окова'ть.","iamb"
"32","P_1007","P_1007_2","С дней праде'довских хлебосо'лы,
Чем Го'стя при'мем, подиви'м?
Однообра'зны на'ши до'лы;
Конь, бык, овца' лишь сро'дны им ;
С одни'м Дне'пром , море'й далеки' —
Суда'м безве'стны на'ши реки';
Бога'ты, бедны' вме'сте мы;
Подча'с вздыха'ем от оби'лья,
А по'сле.... Где ж златы'е кры'лья
Возьму'т промы'шленны умы'?","iamb"
"33","P_1007","P_1007_3","В усе'рдьи ра'дости послу'шной,
Мы принесли' все, что могли';
Приди' , взгляни' великоду'шно
На плод труда', на плод земли' ,
Попы'ток и начато'к сбо'ры...
К дара'м иску'сств привы'кши взо'ры
Не нам рассе'ять, зна'ю я;
Но есть одно', есть холм Полта'вы —
Первонача'льник Ру'сской сла'вы...
Туда', наш Гость, зовём Тебя'!","iamb"
"34","P_1007","P_1007_4","Взойди'—с него' далеко ви'дно
Сквозь про'шлого тума'н седо'й:
Кагу'льских Ту'рок бег посты'дной,
И Фри'дериков гро'зный бой ;
Войны' крова'вою зада'чей ,
С нага'йкой, вот стари'к на кля'че ,
К побе'дам ска'чет от побе'д;
А там, под Дя'ди знамёнами,
Наро'ды дви'нулись с Царя'ми —
И отдохну'л свобо'дный свет.","iamb"
"35","P_1007","P_1007_5","И да'ле, то же все родно'е,
Все бли'зкое, Балка'н, Эвфра'т,
И Галл в наси'льственном поко'е,
И вновь нака'занный Сарма'т!...
И всех чуде'с сих здесь нача'ло!...
Здесь се'рдце Ру'сское узна'ло
Впервы'е та'йну кро'вных сил;
И где преде'л разли'в их встре'тит?
Зла'той ли Ганг Твой меч освети'т ,
Иль обузда'ет де'рзкий Нил ?","iamb"
"36","P_1007","P_1007_6","Но в - сто'рону похо'ды: ли'ра
Успе'ет им хвалу' бряца'ть;
Насле'дье ди'вное — треть ми'ра —
Орёл, лети' обозрева'ть.
Красы' приро'ды гро'зной, ди'кой,
Ума' и све'та труд вели'кой
В нем сли'ты, ждут Мона'рших глаз ;
В деся'тки лет ве'ка прошли' мы ;
Но мно'гия весны' и зи'мы
Ещё найду'т в доро'ге нас.","iamb"
"37","P_1007","P_1007_7","Вперёд — и сме'ло за звездо'ю
Праба'бки, Дя'ди и Отца':
Петро'вой зажжена' руко'ю
Она' у сла'вного конца';
Гори'т одна', светло', высоко';
С трудо'м её зави'дит о'ко;
Но Ты, и Сын и Внук Царе'й,
Широ'ким взма'хом кры'льев мо'щных
Над вью'гами небе'с полно'щных ,
Ты го'рдо поплывёшь за ней!","iamb"
"38","P_1007","P_1007_8","Росси'я исполня'ть гото'ва;
Люби' лишь ве'рный Свой наро'д.
Смотри', как от Царё!ва сло'ва
Шага'ет он из го'да в год ;
Изде'лий чужезе'мных ди'во
Москва' усво'ила счастли'во;
Кавка'з вьет шелк; есть шерсть давно' ;
Крым, Эрива'нь ростя'т оли'вы;
Ска'лы Кахе'та гордели'вы
На - зло Бордо' це'дят вино'.","iamb"
"39","P_1007","P_1007_9","И за Ура'лом страны', ца'рства,
Дар бу'йной са'бли Ерма'ка,
Где сы'плют и тая'т бога'тства
И глубь земли' и зыбь песка' ;
Тобо'ль, сто`кра'т благослове'нный,
Приро'дой ще'дро наделённый,
Украи'на Сиби'ри: дай
Ей руки' — и по'ля пусты'е
Покро'ют ни'вы золоты'е,
И закипи'т торго'влей край.","iamb"
"40","P_1007","P_1007_10","Дово'льно !. .. Мы'сли открове'нной
И се'льской простоте' ду'ши
Поры'вы ли'ры восхи'щенной ,
О Гость Высо'кий, припиши'!
Так пел я — от того' что пе'лось;
Мне бо'льше бы сказа'ть хоте'лось...
Но пусть сто`у'стая молва'
Дока'нчивает гимн поэ'та,
И повторя'ют пле'ски све'та
Усе'рдья ро'бкого сло'ва!
","iamb"
