"","author","source","number_of_texts"
"208","Пушкарев Н. Л.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",5
"209","Пушкин А. С.","Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 3",349
"210","Пушкин А. С.","Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т. 8",1
"211","Пушкин А. С.","Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т.1",132
"212","Пушкин А. С.","Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т.2",381
"213","Пушкин А. С.","Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т.4",14
"214","Пушкин А. С.","Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т.5",9
"215","Пушкин А. С.","Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т.6",13
"216","Пушкин А. С.","Пушкин А. С. Полное собрание сочинений, 1837-1937: В 16 т. Т.8",1
"217","Пушкин А. С.","Пушкин А. С. Полное собрание сочинений: В 10 т. / АН СССР. Ин-т рус. лит. (Пушкин. дом) Текст проверен и примеч. сост. Б. В. Томашевским. -- 4-е изд. -- Л.: Наука. Ленингр. отд-ние, 1977--1979.",1
"218","Пушкин В. Л.","Василий Пушкин Стихи Проза Письма",3
"219","Пушкин В. Л.","Поэты 1790-1810-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1971",25
"220","Радищев А. Н.","А. Н. Радищев. Полное собрание сочинений. -- М.-Л.: Изд. Академии наук, 1938",49
"221","Радищев Н. А.","Поэты-радищевцы. Библиотека поэта. -- Л., Советский писатель, 1979",3
"222","Раич С. Е.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",17
"223","Ржевский А. А.","Поэты XVIII века. Библиотека поэта. -- Л., Советский писатель, 1972",135
"224","Ржевский А. А.","Русская литература. Век XVIII. Лирика. -- М., Художественная литература, 1990",1
"225","Родзянка А. Г.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",9
"226","Розен Е. Ф.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",15
"227","Розенгейм М. П.","Поэты 1860-х годов. Библиотека поэта. Третье издание. -- Л.: Советский писатель, 1968",6
"228","Ростопчина Е. П.","Евдокия Ростопчина. Стихотворения Проза Письма. -- М., Сов. Россия, 1986",131
"229","Ротчев А. Г.","Поэты 1820-1830-х годов. Библиотека поэта. Второе издание. -- Л.: Советский писатель, 1972",12
"230","Рубан В. Г.","",10
"231","Рылеев К. Ф.","К. Ф. Рылеев. Полное собрание стихотворений. Библиотека поэта. Большая серия. -- Л.: Советский писатель, 1971",75
