"","id","COL_ID","poetry_prose","book_type","genre","special_tag","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","group","group_abbr","group_eng","A_ID"
"31",687,NA,"v","sep","lyr","","Хвостов Д.","Хвостов Д. И.","Хвостов Дмитрий Иванович","Стихи на освящение Собора всех учебных заведений в России июля 20 дня 1835 года / граф Хвостов","СПб.","Вингебера",1835,4,"",21,"","","Отд. стихотворения","sep_lyr","Lyric booklets","A_299"
"32",684,NA,"v","col","lyr","","Хлебников Н.","Хлебников Н.","Хлебников Н.","Подарок друзьям в Новый год : [Сб. стихотворений] Н. Х.......ва","СПб.","Гинце",1835,19,"",20,"","","Сборники стихотворений","col_lyr","Lyric collections","A_300"
"33",89,"COL_141","v","col","lyr","","Цитович Н.","Цитович Н.Д.","Цитович Николай Дмитриевич","Басни Н. Цитовича","СПб.","Крайя",1835,28,"8",20,"","","Сборники стихотворений","col_lyr","Lyric collections","A_17"
"34",67,"COL_1","v","col","lyr; nar","","А. Я-в","Яковлев А.","Яковлев А.","Кривой бес. Русская сказка [Стихотворения]","СПб.","Вингебера",1835,35,"8",19,"","drive/photos","Сборники стихотворений","col_lyr","Lyric collections","A_303"
"35",1090,NA,"v","alm","","songs","","","","Арфа златострунная, или песенник","М.","Степанова",1835,NA,"8",NA,"","","Альманахи","alm","Almanacks",NA
"36",356,NA,"v","alm","","","","","","Весенние цветы, или Собрание романсов, баллад и песен Пушкина, Жуковского, Козлова, Баратынского, Туманского, Ф. Глинки, Ознобишина, Раича, Маркевича, Вяземского и проч.","М.","Пономарева",1835,222,"12",17,"РГБ","https://dlib.rsl.ru/01003570149","Альманахи","alm","Almanacks",NA
"37",683,NA,"v","sep","lyr","","","","","Князю Дмитрию Владимировичу Голицыну : [Стихотворение]","М.","Семена",1835,2,"",NA,"","","Отд. стихотворения","sep_lyr","Lyric booklets",NA
"38",357,NA,"pr","alm","","","","","","Летопись факультетов на 1835 год, изданная в двух книгах А. Галичем и В. Плаксиным. Кн. 1.","СПб.","Глазунова",1835,238,"8",20,"","drive/natasha","Альманахи","alm","Almanacks",NA
"39",87,"COL_17","v","sep","lyr","","","","","Стихотворение на столетие литейного дома с арсенала в Петербурге 1835 года 6 августа","СПб.","Вингебера",1835,1,"",NA,"","","Отд. стихотворения","sep_lyr","Lyric booklets",NA
"40",130,NA,"v","col","lyr","","А. Ф. Ф.","А. Ф. Ф.","А. Ф. Ф.","Роза и Василек. Соч. А.Ф.Ф.","СПб.","Экс. загот. гос. бумаг",1836,11,"",11,"","","Сборники стихотворений","col_lyr","Lyric collections","A_285"
"41",95,"COL_19","v","col","lyr","","Аполлон де ***","Аполлон де ***","","Стихотворения Аполлона де ***","М.","Селивановского",1836,41,"8",24,"ЧБ","https://books.google.com/books?id=Si2NzYwy5K8C&printsec=frontcover&source=gbs_ViewAPI","Сборники стихотворений","col_lyr","Lyric collections","A_20"
"42",96,"COL_20","v","col","lyr","double","Бенедиктов В.","Бенедиктов В.Г.","Бенедиктов Владимир Григорьевич","Стихотворения Владимира Бенедиктова / Изд. 2-е","СПб.","Гинце",1836,132,"8",21,"нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000397&pg_seq=1&search_doc=","Сборники стихотворений","col_lyr","Lyric collections","A_18"
"43",97,NA,"v","col","lyr; nar","","Вельтман А.","Вельтман А.Ф.","Вельтман Александр Фомич","Беглец : Повесть в стихах : С присовокуплением пяти стихотворений","М.","Н. Глазунова",1836,74,"",17,"РГБ","https://dlib.rsl.ru/01003571122","Сборники стихотворений","col_lyr","Lyric collections","A_176"
"44",99,"COL_22","v","col","lyr","","Зилов А.","Зилов А.М.","Зилов Алексей Михайлович","Стихотворения Алексея Зилова. Тетрадь 2-я","М.","Лазаревых",1836,68,"12",23,"","","Сборники стихотворений","col_lyr","Lyric collections","A_5"
"45",101,"COL_23","v","col","lyr","","Кашкин Д.","Кашкин Д.Е.","Кашкин Дмитрий Евгеньевич","Сочинения Дмитрия Кашкина: В 3 т. Т. 1","М.","Степанова",1836,468,"8",21,"","drive/natasha","Сборники стихотворений","col_lyr","Lyric collections","A_22"
"46",124,"COL_38","pr","col","lyr","","Кульчицкий А.","Кульчицкий А.","Кульчицкий Александр Яковлевич","Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий [Студ. сб.]","Харьков","Ун. тип",1836,284,"8",20,"","drive/photos/17","Сборники стихотворений","col_lyr","Lyric collections","A_33"
"47",107,"COL_24","pr","col","lyr","","Лавров Н.","Лавров Н.","Лавров Н.","Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова","СПб.","Вингебера",1836,73,"8",26,"","drive/photos/15","Сборники стихотворений","col_lyr","Lyric collections","A_23"
"48",128,"COL_143","v","col","lyr","double","Майков М.","Майков М.А.","Майков Михаил Александрович","Басни Михайла Майкова","Ярославль","Губ. правления",1836,30,"8",22,"","","Сборники стихотворений","col_lyr","Lyric collections","A_34"
"49",1267,NA,"v","col","lyr","","Максимов М.","Максимов М.И.","Максимов Михаил Иванович","Патриотические песни : Тетрадь 1","СПб.","Ун. тип",1836,26,"",NA,"","","Сборники стихотворений","col_lyr","Lyric collections","A_73"
"50",1268,NA,"v","col","lyr","","Максимов М.","Максимов М.И.","Максимов Михаил Иванович","Патриотические песни : Тетрадь 2","М.","Ун. тип",1836,13,"",NA,"","","Сборники стихотворений","col_lyr","Lyric collections","A_73"
