"","id","COL_ID","poetry_prose","book_type","genre","author_sign","author","author_full_name","title","city","publisher","year","pages","size_fold","size_cm","digital_copy","digital_copy_URL","path","A_ID"
"11",85,"COL_15","v","col","lyr","Т-м-ф-в","Тимофеев А.В.","Тимофеев Алексей Васильевич","Песни: В 2 ч.","СПб.","Гинце","1835","178","","20","нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000973&pg_seq=1&search_doc=","../../data/corpus1835/collections/raw_texts/unseparated_cols//85_1835.txt","A_15"
"12",86,"COL_16","v","sep","lyr","Топчибашев М. Д.","Топчибашев М. Д.","Топчибашев Мирза Джафар","На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева","СПб.","Акад. наук","1835","7","","26","РГБ","https://dlib.rsl.ru/01003570203","../../data/corpus1835/collections/raw_texts/unseparated_cols//86_1835.txt","A_16"
"13",90,"COL_200","v","col","lyr","Бенедиктов В.","Бенедиктов В.Г.","Бенедиктов Владимир Григорьевич","Стихотворения Владимира Бенедиктова","СПб.","Вингебера","1835","106","8","20","нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000396&pg_seq=1&search_doc=","../../data/corpus1835/collections/raw_texts/unseparated_cols//90_1835.txt","A_18"
"14",91,"","v","col","lyr","Жуковский В.А.","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 1. Орлеанская дева; лирические стихотворения","СПб.","Экс. загот. гос. бумаг","1835","292","","22","РГБ","https://dlib.rsl.ru/01003819724","../../data/corpus1835/collections/raw_texts/unseparated_cols//91_1835.txt","A_19"
"15",92,"COL_212","v","col","lyr","Жуковский В.А.","Жуковский В.А.","Жуковский Василий Андреевич","Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е. Т. 2. Романсы и песни. Элегии. Послания","СПб.","Экс. загот. гос. бумаг","1835","258","","22","РГБ","https://dlib.rsl.ru/01003819723","../../data/corpus1835/collections/raw_texts/unseparated_cols//92_1835.txt","A_19"
"16",633,"","v","col","lyr","Крылов И.","Крылов И.А.","Крылов Иван Андреевич","Басни Ивана Крылова : В 8 кн. 30-я тысяча.","СПб.","Смирдина","1835","410","4","11","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//633_1835.txt","A_218"
"17",691,"","v","sep","lyr","Малышев Г.","Малышев Г.Г.","Малышев Григорий Григорьевич","На случай отправления гвардейского отряда в Калиш 14-26-го июля 1835-го года : Стихи сии написаны музыкантом лейб-гвардии Егер. полка Малышевым.","СПб.","druck. von C. Krav","1835","5","","19","РГБ","https://dlib.rsl.ru/01003559123","../../data/corpus1835/collections/raw_texts/unseparated_cols//691_1835.txt","A_148"
"18",95,"COL_19","v","col","lyr","Аполлон де ***","Аполлон де ***","Аполлон де ***","Стихотворения Аполлона де ***","М.","Селивановского","1836","41","8","24","ЧБ","https://books.google.com/books?id=Si2NzYwy5K8C&printsec=frontcover&source=gbs_ViewAPI","../../data/corpus1835/collections/raw_texts/unseparated_cols//95_1836.txt","A_20"
"19",101,"COL_23","v","col","lyr","Кашкин Д.","Кашкин Д.Е.","Кашкин Дмитрий Евгеньевич","Сочинения Дмитрия Кашкина: В 3 т. Т. 1","М.","Степанова","1836","468","8","21","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//101_1836.txt","A_22"
"20",107,"COL_24","pr","col","lyr","Лавров Н.","Лавров Н.","Лавров Н.","Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова","СПб.","Вингебера","1836","73","8","26","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//107_1836.txt","A_23"
"21",111,"COL_25","v","col","lyr","Мейснер А.","Мейснер А.Я.","Мейснер Алексей Яковлевич","Стихотворения Алексея Мейснера","М.","Семена","1836","270","12","19","ЧБ","https://books.google.com/books?id=iHZpAAAAcAAJ&printsec=frontcover&source=gbs_ViewAPI","../../data/corpus1835/collections/raw_texts/unseparated_cols//111_1836.txt","A_24"
"22",112,"COL_27","v","col","lyr","Полежаев А.И.","Полежаев А.И.","Полежаев Александр Иванович","Кальян. Стихотворения Полежаева / Изд. 2","М.","Ун. тип","1838","131","12","17","ЧБ","https://books.google.com/books?id=tiCc6NXOlU0C&printsec=frontcover&source=gbs_ViewAPI","../../data/corpus1835/collections/raw_texts/unseparated_cols//112_1836.txt","A_26"
"23",113,"COL_28","v","col","lyr","Пуговишников А.М.","Пуговишников А.М.","Пуговишников Александр Михайлович","Песни, романсы и стихотворения А.П. / Изд. 2","М.","Кирилова","1836","95","16","15","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//113_1836.txt","A_27"
"24",114,"COL_29","v","col","lyr","Суханов М.","Суханов М.Д.","Суханов Михаил Дмитриевич","Время не праздно. Стихотворения крестьянина М. Суханова","СПб.","Вингебера","1836","112","12","17","нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000951&pg_seq=1&search_doc=","../../data/corpus1835/collections/raw_texts/unseparated_cols//114_1836.txt","A_28"
"25",115,"COL_30","v","col","lyr","Суханов М.","Суханов М.Д.","Суханов Михаил Дмитриевич","Мои сельские досуги","СПб.","Вингебера","1836","110","12","17","нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000950&pg_seq=1&search_doc=","../../data/corpus1835/collections/raw_texts/unseparated_cols//115_1836.txt","A_28"
"26",117,"COL_32","v","col","lyr","Тепляков В.Г.","Тепляков В.Г.","Тепляков Виктор Григорьевич","Стихотворения Виктора Теплякова. Т. 2. Фракийские элегии. (Писаны в 1829-м г.). Стихотворения разных годов.","СПб.","Гутенбергова тип.","1836","194","8","22","нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000974&pg_seq=1&search_doc=","../../data/corpus1835/collections/raw_texts/unseparated_cols//117_1836.txt","A_30"
"27",118,"COL_33","v","col","lyr","Тростин Х.","Тростин Х.Д.","Тростин Христофор","Стихотворения Христофора Тростина","М.","Ун. тип","1836","32","8","24","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//118_1836.txt","A_31"
"28",121,"COL_35","v","alm","","","","","Маскерад. Подарок прекрасному полу на 1837 год","СПб.","Гинце","1836","35","","16","нб_спбгу","http://old.library.spbu.ru/dcol/jsp/RcWebImageViewer.jsp?doc_id=ad3db2a1-c807-461d-a5a8-c6905de40f77/libspbgu/00000001/00000888&pg_seq=1&search_doc=","../../data/corpus1835/collections/raw_texts/unseparated_cols//121_1836.txt",""
"29",122,"COL_36","v","col","lyr","","","","Мечты при луне. Стихотворения","М.","Кирилова","1836","27","","19","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//122_1836.txt",""
"30",124,"COL_38","pr","col","lyr","Кульчицкий А.","Кульчицкий А.","Кульчицкий Александр Яковлевич","Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий [Студ. сб.]","Харьков","Ун. тип","1836","284","8","20","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//124_1836.txt","A_33"
"31",125,"COL_39","v","alm","","Крыловский В.","Крыловский В.","Крыловский В.","Мое новоселье. Альманах на 1836 год, изд. В. Крыловским","СПб.","Крылова","1836","206","","12","ЧБ","https://books.google.com/books?id=paNeAAAAcAAJ&printsec=frontcover&source=gbs_ViewAPI","../../data/corpus1835/collections/raw_texts/unseparated_cols//125_1836.txt","A_291"
"32",128,"COL_143","v","col","lyr","Майков М.","Майков М.А.","Майков Михаил Александрович","Басни Михайла Майкова","Ярославль","Губ. правления","1836","30","8","22","","","../../data/corpus1835/collections/raw_texts/unseparated_cols//128_1836.txt","A_34"
"33",131,"COL_206","pr","col","lyr","Щукин К.","Щукин К.","Щукин К.","Литературные занятия","СПб.","Акад. наук","1836","252","8","20","ЧБ","https://books.google.com/books?id=Y0c64PMcHJQC&printsec=frontcover&source=gbs_ViewAPI","../../data/corpus1835/collections/raw_texts/unseparated_cols//131_1836.txt","A_302"
"34",343,"COL_222","v","col","lyr","","Ушаков А.А.","Ушаков А.А.","Рукописи из зеленого портфеля","М.","Семена","1836","182","","22","ЧБ","https://books.google.com/books?id=ncYzMSLF4v0C&printsec=frontcover&source=gbs_ViewAPI","../../data/corpus1835/collections/raw_texts/unseparated_cols//343_1836.txt","A_135"
